name,clubCode,position,tierLabel,xg90,xa90,xgi90,dc90,cs_prob,ffpl_pgw,next6_pgw,role,draft_now,draft_x,spike_gw,impact,season_points,status,flags,role_note
Yoro,MUN,DEF,1,0.07,0.04,0.1,8.02,0.27,1.63,1.67,0.75,1.26,1.29,1.92,1.34,0.0,a,,
Dorgu,MUN,MID,1,0.14,0.12,0.26,6.66,0.27,1.42,1.45,0.9,1.31,1.22,1.67,1.3,0.0,a,,
N.Gonzalez,NEW,MID,2,0.06,0.08,0.15,10.79,0.38,1.38,1.62,0.75,1.22,1.22,1.97,1.3,0.0,a,MOVED-DEADLINE,
Solanke,TOT,FWD,3,0.35,0.04,0.39,5.67,0.23,1.26,1.4,0.9,1.26,1.25,1.54,1.29,1.0,a,PEN,
Nmecha,LEE,FWD,2,0.57,0.1,0.67,4.68,0.25,1.72,1.63,0.75,1.22,1.25,1.79,1.28,0.0,a,,
Wan-Bissaka,AVL,DEF,1,0.01,0.05,0.06,7.58,0.24,1.8,1.6,0.75,1.2,1.18,2.01,1.28,0.0,a,NEW-CLUB,
Onana,AVL,MID,1,0.1,0.06,0.16,10.4,0.24,1.74,1.55,0.75,1.17,1.16,1.94,1.25,0.0,i,,
Wood,NFO,FWD,3,0.46,0.04,0.5,3.52,0.23,1.22,1.29,0.9,1.16,1.19,1.5,1.24,1.0,a,PEN,
Rayan,BOU,MID,1,0.19,0.14,0.33,7.11,0.26,1.37,1.25,1.0,1.25,1.17,1.39,1.24,2.0,a,,
Hughes,CRY,MID,3,0.08,0.12,0.2,8.38,0.27,1.48,1.58,0.75,1.18,1.23,1.65,1.23,0.0,a,,
Schär,NEW,DEF,2,0.07,0.05,0.12,8.88,0.28,1.39,1.27,0.9,1.14,1.19,1.49,1.23,1.0,a,,
Udogie,TOT,DEF,3,0.03,0.05,0.08,5.56,0.23,1.21,1.34,0.9,1.21,1.21,1.43,1.23,1.0,a,,
Kamara,AVL,MID,1,0.06,0.08,0.14,9.05,0.24,1.31,1.17,1.0,1.17,1.11,1.46,1.22,2.0,a,,
Dominguez,NFO,MID,3,0.12,0.08,0.2,9.98,0.23,1.41,1.5,0.75,1.12,1.13,1.86,1.21,0.0,a,,
Tanaka,LEE,MID,2,0.11,0.1,0.21,9.44,0.25,1.63,1.54,0.75,1.16,1.14,1.76,1.2,0.0,a,,
Andrey Santos,MUN,MID,1,0.14,0.08,0.22,8.87,0.27,1.08,1.11,1.0,1.11,1.15,1.27,1.19,2.0,a,NEW-CLUB,
Mateta,CRY,FWD,3,0.57,0.05,0.62,4.95,0.27,3.58,3.83,0.3,1.15,1.18,3.88,1.18,2.0,a,PEN,out ~4 weeks per manager report - misses most of GW3-8
Iroegbunam,EVE,MID,2,0.06,0.07,0.13,10.49,0.26,1.54,1.48,0.75,1.11,1.08,1.8,1.16,0.0,i,,
Garnacho,AVL,MID,1,0.21,0.22,0.43,6.0,0.24,1.3,1.16,0.9,1.04,1.09,1.45,1.16,1.0,a,NEW-CLUB,
Longstaff,LEE,MID,2,0.12,0.15,0.27,9.15,0.25,1.32,1.25,0.9,1.12,1.09,1.41,1.14,1.0,a,,
Hato,CHE,DEF,2,0.04,0.05,0.08,7.79,0.25,0.96,1.07,1.0,1.07,1.1,1.22,1.14,1.0,a,,
Mings,AVL,DEF,1,0.08,0.04,0.12,7.42,0.24,1.27,1.14,0.9,1.02,1.06,1.43,1.13,1.0,a,,
Osula,NEW,FWD,2,0.48,0.06,0.55,3.88,0.28,1.37,1.25,0.9,1.12,1.05,1.44,1.12,4.0,i,,
Baleba,MUN,MID,1,0.07,0.06,0.13,10.5,0.27,1.37,1.41,0.75,1.05,1.08,1.61,1.12,0.0,i,NEW-CLUB,
Mosquera,ARS,DEF,1,0.03,0.06,0.08,8.32,0.5,1.09,1.08,1.0,1.08,1.09,1.18,1.12,6.0,a,,
Brooks,BOU,MID,1,0.34,0.21,0.55,7.4,0.26,1.46,1.33,0.75,1.0,1.11,1.48,1.11,0.0,a,,
Bobb,FUL,MID,2,0.13,0.16,0.29,7.12,0.24,1.11,1.0,1.0,1.0,1.04,1.21,1.09,2.0,a,,
Disasi,CRY,DEF,3,0.07,0.02,0.09,6.78,0.25,1.13,1.4,0.75,1.05,1.09,1.42,1.08,0.0,a,"NEW-CLUB, MOVED-DEADLINE",
Delap,NFO,FWD,3,0.42,0.03,0.45,3.81,0.25,1.08,1.33,0.75,1.0,1.04,1.55,1.08,0.0,a,MOVED-DEADLINE,
J.Cuenca,FUL,DEF,2,0.02,0.05,0.08,9.88,0.24,1.1,0.99,1.0,0.99,1.0,1.21,1.06,3.0,a,,
